stationid,component,time,unit,meantype,value,meta_name,meta_owner,meta_location,x_coord,y_coord,z_coord
03:0603,Ozon,1661265000,µg/m³,HMW,65.0,"Himberg, Alter Markt",Amt der Niederösterreichischen Landesregierung,Am Alten Markt - Institutgasse,16.4311,48.0857,172.0
03:2604,Ozon,1661265000,µg/m³,HMW,65.0,Kematen an der Ybbs,Amt der Niederösterreichischen Landesregierung,Gimpersdorf,14.77227777777778,48.04511111111111,330.0
06:195,Ozon,1661265000,µg/m³,HMW,65.0,Deutschlandsberg Rathausgasse,Amt der Steiermärkischen Landesregierung,"Rathausgasse 3, Arbeiterkammer",15.212777777777776,46.81388888888888,365.0
02:WO15,Ozon,1661265000,µg/m³,HMW,66.0,Wolfsberg Hauptschule,Amt der Kärntner Landesregierung,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",14.84346,46.834975,460.0
06:178,Ozon,1661265000,µg/m³,HMW,66.0,Weiz Bahnhofstraße,Amt der Steiermärkischen Landesregierung,Bahnhofstraße 7,15.628392,47.215703,459.0
06:194,Ozon,1661265000,µg/m³,HMW,67.0,Mürzzuschlag Roseggerpark,Amt der Steiermärkischen Landesregierung,"Roseggerpark, Waldgasse/Roseggergasse",15.673055555555557,47.60472222222222,679.0
01:0007,Ozon,1661265000,µg/m³,HMW,68.0,Pöttelsdorf,Amt der Burgenländischen Landesregierung,Berggasse,16.434389,47.749044,214.0
03:0302,Ozon,1661265000,µg/m³,HMW,68.0,Stixneusiedl,Amt der Niederösterreichischen Landesregierung,"Stixneusiedl, Hochbehälter Viehtrift",16.675289,48.05004,235.0
03:1401,Ozon,1661265000,µg/m³,HMW,68.0,Mödling Bachgasse,Amt der Niederösterreichischen Landesregierung,Untere Bachgasse (Park vor Schule),16.3022222,48.0861111,215.0
04:S409,Ozon,1661265000,µg/m³,HMW,68.0,Steyr Münichholz,Amt der Oberösterreichischen Landesregierung,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",14.442777777777778,48.04944444444444,305.0
06:185,Ozon,1661265000,µg/m³,HMW,68.0,Klöch bei Bad Radkersburg,Amt der Steiermärkischen Landesregierung,"Seindl, Dissay-Weg",15.956111,46.7675,415.0
06:198,Ozon,1661265000,µg/m³,HMW,69.0,Fürstenfeld Ungartorweg,Amt der Steiermärkischen Landesregierung,Hauptschule Schillerplatz 2,16.07905,47.04735,276.0
10:ZOE2,Ozon,1661265000,µg/m³,HMW,69.0,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,Umweltbundesamt,"Zöbelboden, Wildwiese",14.44095,47.83828,899.0
03:0202,Ozon,1661265000,µg/m³,HMW,70.0,Forsthof am Schöpfl,Amt der Niederösterreichischen Landesregierung,Forsthof am Schöpfl,15.9189,48.1051,581.0
06:138,Ozon,1661265000,µg/m³,HMW,70.0,Graz Nord Gösting,Amt der Steiermärkischen Landesregierung,"Graz Nord, Josef Ornig-Strasse 16, Umspannwerk, Sportplatz",15.4151111111111,47.0943611111,355.0
01:0001,Ozon,1661265000,µg/m³,HMW,72.0,Eisenstadt Laschoberstraße,Amt der Burgenländischen Landesregierung,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",16.52617,47.8401138,165.0
06:150,Ozon,1661265000,µg/m³,HMW,72.0,Rennfeld,Amt der Steiermärkischen Landesregierung,Rennfeld-Gipfel,15.360833333333334,47.40555555555555,1610.0
06:190,Ozon,1661265000,µg/m³,HMW,72.0,Arnfels - Remschnigg,Amt der Steiermärkischen Landesregierung,"Steirischer Possruck, Remschnigg, Isaak",15.36778,46.65195,785.0
06:036,Ozon,1661265000,µg/m³,HMW,74.0,Graz Lustbühel,Amt der Steiermärkischen Landesregierung,Observatorium Schloss Lustbühel,15.493688888888888,47.06701111111112,473.0
06:118,Ozon,1661265000,µg/m³,HMW,74.0,"Judenburg, Sportplatz",Amt der Steiermärkischen Landesregierung,"Stadionstraße, südlich des Sportplatzes",14.676666666666666,47.17833333333333,715.0
03:0201,Ozon,1661265000,µg/m³,HMW,75.0,"Bad Vöslau, Gainfarn",Amt der Niederösterreichischen Landesregierung,"Kottingbrunner Straße, Gymnasium Gainfarn, Sportplatz",16.20573,47.9592,265.0
03:2101,Ozon,1661265000,µg/m³,HMW,75.0,Wiesmath,Amt der Niederösterreichischen Landesregierung,Mäuserriegel,16.29305556,47.60833333,738.0
06:018,Ozon,1661265000,µg/m³,HMW,75.0,Graz Schloßberg,Amt der Steiermärkischen Landesregierung,"Schlossberg, südlich vom Glockenturm",15.4375,47.075833333333335,450.0
06:151,Ozon,1661263200,µg/m³,HMW,76.0,Bockberg,Amt der Steiermärkischen Landesregierung,"Bockbergweg, Jöbstl-Arbeiter",15.495833333333332,46.87138888888889,449.0
06:156,Ozon,1661265000,µg/m³,HMW,76.0,Masenberg,Amt der Steiermärkischen Landesregierung,"Masenberg, Sender oberhalb von Waldhansl",15.882222,47.34806,1180.0
